Caltech Behavior Annotator - Annotation File

Configuration file:
other o
attack a
approach b
chasing c
dig d
escape e
general-sniffing f
sniff_genital p
sniff_face w
selfgrooming g
socialgrooming h
defend i
exploreobj j
climb k
follow l
mount m
biteobj n
flinch r
stand s
punch t
threaten u
interaction v
human_interfere x
tussling y

S1: start    end     type
-----------------------------
       1     305    human_interfere
     306     550    other
     551     589    approach
     590     598    general-sniffing
     599     661    other
     662     701    climb
     702     720    other
     721     723    sniff_face
     724     739    other
     740     766    approach
     767     965    other
     966     988    stand
     989    1017    other
    1018    1055    approach
    1056    1064    sniff_face
    1065    1098    approach
    1099    1106    general-sniffing
    1107    1116    punch
    1117    1146    other
    1147    1152    exploreobj
    1153    1157    other
    1158    1169    sniff_face
    1170    1177    punch
    1178    1205    other
    1206    1219    climb
    1220    1230    other
    1231    1273    climb
    1274    1280    other
    1281    1298    approach
    1299    1305    sniff_face
    1306    1307    other
    1308    1352    follow
    1353    1360    general-sniffing
    1361    1368    other
    1369    1390    general-sniffing
    1391    1405    other
    1406    1433    climb
    1434    1451    approach
    1452    1457    sniff_face
    1458    1498    other
    1499    1518    climb
    1519    1534    other
    1535    1606    dig
    1607    1660    other
    1661    1782    sniff_face
    1783    1790    flinch
    1791    1931    other
    1932    1969    climb
    1970    2008    other
    2009    2022    stand
    2023    2047    other
    2048    2091    climb
    2092    2114    approach
    2115    2122    other
    2123    2154    approach
    2155    2164    general-sniffing
    2165    2172    punch
    2173    2181    sniff_face
    2182    2189    punch
    2190    2197    other
    2198    2214    sniff_face
    2215    2221    punch
    2222    2244    chasing
    2245    2247    general-sniffing
    2248    2257    other
    2258    2271    general-sniffing
    2272    2294    follow
    2295    2308    general-sniffing
    2309    2316    punch
    2317    2327    other
    2328    2334    flinch
    2335    2350    escape
    2351    2383    other
    2384    2419    approach
    2420    2425    other
    2426    2437    selfgrooming
    2438    2452    approach
    2453    2467    general-sniffing
    2468    2483    flinch
    2484    2571    other
    2572    2591    stand
    2592    2610    other
    2611    2703    dig
    2704    2760    other
    2761    2859    climb
    2860    2880    other
    2881    2910    climb
    2911    2937    other
    2938    2984    dig
    2985    3163    other
    3164    3208    stand
    3209    3229    escape
    3230    3268    stand
    3269    3293    other
    3294    3307    defend
    3308    3316    flinch
    3317    3328    defend
    3329    3696    other
    3697    3712    approach
    3713    3844    other
    3845    3849    stand
    3850    3896    approach
    3897    3911    sniff_face
    3912    3930    other
    3931    3978    stand
    3979    3992    other
    3993    4061    climb
    4062    4128    other
    4129    4131    sniff_face
    4132    4136    punch
    4137    4188    other
    4189    4203    selfgrooming
    4204    4233    climb
    4234    4237    other
    4238    4269    approach
    4270    4297    general-sniffing
