Caltech Behavior Annotator - Annotation File

Configuration file:
other	o
attack	a
approach	b
chasing	c
dig	d
escape	e
general-sniffing	f
sniff_female	p
sniff_face	w
selfgrooming	g
socialgrooming	h
defend	i
exploreobj	j
climb	k
follow	l
mount	m
biteobj	n
flinch	r
stand	s
punch	t
threaten	u
follow_female	v
human_interfere	x
tussling	y

S1:	start	end	type
-----------------------------
   	1	533	human_interfere
   	534	618	other
   	619	631	sniff_female
   	632	734	other
   	735	757	sniff_female
   	758	775	other
   	776	786	sniff_female
   	787	790	sniff_face
   	791	833	other
   	834	915	sniff_face
   	916	1204	other
   	1205	1266	follow_female
   	1267	1330	mount
   	1331	1388	other
   	1389	1395	sniff_face
   	1396	1532	other
   	1533	1550	sniff_face
   	1551	1626	other
   	1627	1630	sniff_face
   	1631	2628	other
   	2629	2654	defend
   	2655	2756	other
   	2757	2795	defend
   	2796	2800	flinch
   	2801	2826	defend
   	2827	2839	other
   	2840	2869	defend
   	2870	3037	other
   	3038	3081	selfgrooming
   	3082	3904	other
   	3905	3955	selfgrooming
   	3956	4146	other
   	4147	4205	sniff_female
   	4206	4460	other
   	4461	4532	follow_female
   	4533	4554	selfgrooming
   	4555	4570	other
   	4571	4733	mount
   	4734	4857	other
   	4858	4864	sniff_female
   	4865	5071	other
   	5072	5149	follow_female
   	5150	5196	mount
   	5197	5276	other
   	5277	5300	sniff_female
   	5301	5469	mount
   	5470	5496	follow_female
   	5497	5567	mount
   	5568	5832	other
   	5833	5864	general-sniffing
   	5865	5905	other
   	5906	6100	mount
   	6101	6156	sniff_female
   	6157	6228	mount
   	6229	6264	sniff_female
   	6265	6377	mount
   	6378	6386	other
   	6387	6396	sniff_face
   	6397	6469	other
   	6470	6663	mount
   	6664	7266	other
   	7267	7296	approach
   	7297	7344	general-sniffing
   	7345	7359	flinch
   	7360	7400	other
   	7401	7411	flinch
   	7412	7789	other
   	7790	7853	selfgrooming
   	7854	8475	other
   	8476	8528	follow_female
   	8529	8539	sniff_female
   	8540	8770	other
   	8771	8784	flinch
   	8785	9036	other
   	9037	9074	defend
   	9075	9089	other
   	9090	9104	defend
   	9105	9108	flinch
   	9109	9126	escape
   	9127	9252	other
   	9253	9264	flinch
   	9265	9888	other
   	9889	9923	sniff_female
   	9924	9943	mount
   	9944	10077	other
   	10078	10084	sniff_face
   	10085	10355	other
   	10356	10385	defend
   	10386	11415	other
   	11416	11431	sniff_female
   	11432	11526	other
   	11527	11534	sniff_face
   	11535	11542	flinch
   	11543	11549	other
   	11550	11581	flinch
   	11582	11621	escape
   	11622	11795	other
   	11796	11808	defend
   	11809	11820	flinch
   	11821	11835	defend
   	11836	11845	flinch
   	11846	12059	other
   	12060	12073	sniff_female
   	12074	12137	mount
   	12138	12962	other
   	12963	12976	escape
   	12977	14130	other
   	14131	14154	general-sniffing
   	14155	14190	selfgrooming
   	14191	14196	other
   	14197	14214	defend
   	14215	14221	flinch
   	14222	14298	other
   	14299	14328	sniff_female
   	14329	14472	mount
   	14473	14498	other
   	14499	14510	flinch
   	14511	14654	other
   	14655	14816	selfgrooming
   	14817	14830	other
   	14831	14845	escape
   	14846	14853	other
   	14854	14874	escape
   	14875	14878	other
   	14879	14911	escape
   	14912	15083	other
   	15084	15090	flinch
   	15091	15126	selfgrooming
   	15127	15574	other
   	15575	15597	sniff_face
   	15598	16946	other
   	16947	16980	escape
   	16981	19034	other
   	19035	19047	flinch
   	19048	19180	other
   	19181	19239	follow_female
   	19240	19339	sniff_female
   	19340	19475	mount
   	19476	19594	chasing
   	19595	19636	mount
   	19637	19660	sniff_female
   	19661	19666	other
   	19667	19693	chasing
   	19694	19731	mount
   	19732	20611	other
   	20612	20629	defend
   	20630	20653	escape
   	20654	20681	defend
   	20682	20703	escape
   	20704	22555	other
   	22556	22566	defend
   	22567	22595	escape
   	22596	22825	other
   	22826	22860	selfgrooming
   	22861	22888	other
   	22889	22918	selfgrooming
   	22919	23013	other
   	23014	23020	flinch
   	23021	23026	defend
   	23027	23094	escape
   	23095	23185	mount
   	23186	23232	follow_female
   	23233	23258	other
   	23259	23283	escape
   	23284	23618	other
   	23619	23623	sniff_face
   	23624	24482	other
   	24483	24497	sniff_female
   	24498	24874	other
   	24875	24882	sniff_face
   	24883	26541	other
   	26542	26561	defend
   	26562	27182	other
   	27183	27323	approach
   	27324	28009	other
   	28010	28023	defend
   	28024	28088	other
   	28089	28116	escape
   	28117	29107	other
   	29108	29155	mount
   	29156	29170	chasing
   	29171	29217	mount
   	29218	29286	chasing
   	29287	29391	mount
   	29392	29465	other
   	29466	29505	follow_female
   	29506	29522	mount
   	29523	29624	chasing
   	29625	29670	mount
   	29671	29700	chasing
   	29701	29723	mount
   	29724	29765	chasing
   	29766	29871	mount
   	29872	29894	chasing
   	29895	30035	mount
   	30036	30081	chasing
   	30082	30160	mount
   	30161	30189	other
   	30190	30240	attack
   	30241	30722	other
   	30723	30751	follow_female
   	30752	30762	attack
   	30763	30783	other
   	30784	30803	defend
   	30804	32481	other
   	32482	32512	approach
   	32513	32899	other
   	32900	32907	sniff_female
   	32908	33946	other
   	33947	34019	sniff_female
   	34020	35268	other
  
S2:	start	end	type
-----------------------------
   	1	533	human_interfere
   	534	597	other
   	598	625	general-sniffing
   	626	660	other
   	661	669	general-sniffing
   	670	679	other
   	680	724	follow
   	725	732	other
   	733	775	sniff_female
   	776	786	other
   	787	790	sniff_face
   	791	806	other
   	807	830	sniff_female
   	831	833	other
   	834	915	sniff_face
   	916	987	follow
   	988	1033	other
   	1034	1058	follow_female
   	1059	1073	sniff_female
   	1074	1087	other
   	1088	1095	general-sniffing
   	1096	1099	other
   	1100	1142	follow_female
   	1143	1157	sniff_female
   	1158	1169	other
   	1170	1200	sniff_female
   	1201	1388	other
   	1389	1395	sniff_face
   	1396	1402	other
   	1403	1404	sniff_face
   	1405	1457	follow_female
   	1458	1467	sniff_female
   	1468	1475	other
   	1476	1510	sniff_female
   	1511	1532	other
   	1533	1550	sniff_face
   	1551	1564	other
   	1565	1578	punch
   	1579	1600	escape
   	1601	1604	other
   	1605	1626	approach
   	1627	1630	sniff_face
   	1631	1645	other
   	1646	1651	general-sniffing
   	1652	1710	other
   	1711	1749	follow_female
   	1750	2072	other
   	2073	2223	stand
   	2224	2270	sniff_female
   	2271	2298	other
   	2299	2330	follow_female
   	2331	2508	sniff_female
   	2509	2522	other
   	2523	2543	sniff_female
   	2544	2555	other
   	2556	2582	approach
   	2583	2610	other
   	2611	2629	approach
   	2630	2635	other
   	2636	2657	general-sniffing
   	2658	2660	other
   	2661	2722	general-sniffing
   	2723	2729	punch
   	2730	2780	general-sniffing
   	2781	2800	punch
   	2801	2820	general-sniffing
   	2821	2839	other
   	2840	2848	sniff_face
   	2849	2857	punch
   	2858	2859	other
   	2860	2875	follow_female
   	2876	2882	sniff_face
   	2883	2930	other
   	2931	2960	follow_female
   	2961	2978	sniff_female
   	2979	2983	other
   	2984	3015	follow_female
   	3016	3076	sniff_female
   	3077	3382	other
   	3383	3419	follow_female
   	3420	3435	other
   	3436	3461	defend
   	3462	3557	other
   	3558	3568	defend
   	3569	3614	sniff_female
   	3615	3631	other
   	3632	3661	general-sniffing
   	3662	3823	other
   	3824	3991	sniff_female
   	3992	4027	other
   	4028	4034	sniff_female
   	4035	4051	other
   	4052	4184	sniff_female
   	4185	4217	other
   	4218	4230	escape
   	4231	4274	other
   	4275	4289	follow_female
   	4290	4360	other
   	4361	4417	follow_female
   	4418	4588	sniff_female
   	4589	4742	other
   	4743	4767	approach
   	4768	4769	other
   	4770	4784	escape
   	4785	5060	other
   	5061	5094	sniff_female
   	5095	5167	other
   	5168	5199	defend
   	5200	5215	escape
   	5216	5363	other
   	5364	5391	escape
   	5392	5837	other
   	5838	5858	defend
   	5859	5881	escape
   	5882	6063	other
   	6064	6079	general-sniffing
   	6080	6098	escape
   	6099	6386	other
   	6387	6396	sniff_face
   	6397	6591	other
   	6592	6686	approach
   	6687	6721	other
   	6722	6822	sniff_female
   	6823	6845	other
   	6846	6862	sniff_female
   	6863	6908	other
   	6909	7128	sniff_female
   	7129	7133	punch
   	7134	7239	sniff_female
   	7240	7297	other
   	7298	7335	defend
   	7336	7347	punch
   	7348	7371	other
   	7372	7387	general-sniffing
   	7388	7409	punch
   	7410	7434	escape
   	7435	7493	other
